ID;date;country;confirmed;deaths;recovery;mais_de_65;de_15_a_65;menos_de_14;mulher;homem;mortalidade_infantil;Quarentena
1;29/02/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
2;01/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
3;02/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
4;03/03/2020;Argentina;1;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
5;04/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
6;05/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
7;06/03/2020;Argentina;1;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
8;07/03/2020;Argentina;6;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
9;08/03/2020;Argentina;4;1;0;4946805;28530443;11017254;22797803;21696699;8,8;0
10;09/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
11;10/03/2020;Argentina;5;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
12;11/03/2020;Argentina;2;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
13;12/03/2020;Argentina;0;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
14;13/03/2020;Argentina;12;1;0;4946805;28530443;11017254;22797803;21696699;8,8;0
15;14/03/2020;Argentina;3;0;1;4946805;28530443;11017254;22797803;21696699;8,8;0
16;15/03/2020;Argentina;11;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
17;16/03/2020;Argentina;11;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
18;17/03/2020;Argentina;12;0;2;4946805;28530443;11017254;22797803;21696699;8,8;0
19;18/03/2020;Argentina;11;0;0;4946805;28530443;11017254;22797803;21696699;8,8;0
20;19/03/2020;Argentina;18;1;0;4946805;28530443;11017254;22797803;21696699;8,8;0
21;20/03/2020;Argentina;31;0;0;4946805;28530443;11017254;22797803;21696699;8,8;1
22;21/03/2020;Argentina;30;1;0;4946805;28530443;11017254;22797803;21696699;8,8;1
23;22/03/2020;Argentina;108;0;0;4946805;28530443;11017254;22797803;21696699;8,8;1
24;23/03/2020;Argentina;35;0;0;4946805;28530443;11017254;22797803;21696699;8,8;1
25;24/03/2020;Argentina;86;2;49;4946805;28530443;11017254;22797803;21696699;8,8;1
26;25/03/2020;Argentina;0;2;0;4946805;28530443;11017254;22797803;21696699;8,8;1
27;26/03/2020;Argentina;115;1;11;4946805;28530443;11017254;22797803;21696699;8,8;1
28;27/03/2020;Argentina;87;4;9;4946805;28530443;11017254;22797803;21696699;8,8;1
29;28/03/2020;Argentina;101;5;0;4946805;28530443;11017254;22797803;21696699;8,8;1
30;29/03/2020;Argentina;55;1;0;4946805;28530443;11017254;22797803;21696699;8,8;1
31;30/03/2020;Argentina;75;4;156;4946805;28530443;11017254;22797803;21696699;8,8;1
32;31/03/2020;Argentina;234;4;12;4946805;28530443;11017254;22797803;21696699;8,8;1
33;01/04/2020;Argentina;0;1;8;4946805;28530443;11017254;22797803;21696699;8,8;1
34;02/04/2020;Argentina;79;8;8;4946805;28530443;11017254;22797803;21696699;8,8;1
35;03/04/2020;Argentina;132;3;10;4946805;28530443;11017254;22797803;21696699;8,8;1
36;04/04/2020;Argentina;186;4;13;4946805;28530443;11017254;22797803;21696699;8,8;1
37;05/04/2020;Argentina;0;1;1;4946805;28530443;11017254;22797803;21696699;8,8;1
38;06/04/2020;Argentina;103;4;45;4946805;28530443;11017254;22797803;21696699;8,8;1
39;07/04/2020;Argentina;74;8;13;4946805;28530443;11017254;22797803;21696699;8,8;1
40;08/04/2020;Argentina;87;7;20;4946805;28530443;11017254;22797803;21696699;8,8;1
1;25/02/2020;France;2;0;7;13418612;41531775;12026720;34549632;32427475;3,4;0
2;26/02/2020;France;4;1;0;13418612;41531775;12026720;34549632;32427475;3,4;0
3;27/02/2020;France;20;0;0;13418612;41531775;12026720;34549632;32427475;3,4;0
4;28/02/2020;France;19;0;0;13418612;41531775;12026720;34549632;32427475;3,4;0
5;29/02/2020;France;43;0;1;13418612;41531775;12026720;34549632;32427475;3,4;0
