"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"2";2020-01-23;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"3";2020-01-24;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"4";2020-01-25;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"5";2020-01-26;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"6";2020-01-27;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"7";2020-01-28;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"8";2020-01-29;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"9";2020-01-30;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"10";2020-01-31;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"11";2020-02-01;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"12";2020-02-02;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"13";2020-02-03;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"14";2020-02-04;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"15";2020-02-05;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"16";2020-02-06;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"17";2020-02-07;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"18";2020-02-08;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"19";2020-02-09;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"20";2020-02-10;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"21";2020-02-11;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"22";2020-02-12;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"23";2020-02-13;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"24";2020-02-14;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"25";2020-02-15;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"26";2020-02-16;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"27";2020-02-17;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"28";2020-02-18;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"29";2020-02-19;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"30";2020-02-20;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"31";2020-02-21;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"32";2020-02-22;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"33";2020-02-23;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"34";2020-02-24;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"35";2020-02-25;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"36";2020-02-26;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"37";2020-02-27;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"38";2020-02-28;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"39";2020-02-29;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"40";2020-03-01;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"41";2020-03-02;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"42";2020-03-03;"Argentina";1;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
"43";2020-03-04;"Argentina";0;0;0;"AR";2018;4946805;28530443;11017254;22797803;21696699;8,8
