"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"2";2020-01-23;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"3";2020-01-24;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"4";2020-01-25;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"5";2020-01-26;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"6";2020-01-27;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"7";2020-01-28;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"8";2020-01-29;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"9";2020-01-30;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"10";2020-01-31;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"11";2020-02-01;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"12";2020-02-02;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"13";2020-02-03;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"14";2020-02-04;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"15";2020-02-05;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"16";2020-02-06;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"17";2020-02-07;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"18";2020-02-08;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"19";2020-02-09;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"20";2020-02-10;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"21";2020-02-11;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"22";2020-02-12;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"23";2020-02-13;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"24";2020-02-14;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"25";2020-02-15;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"26";2020-02-16;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"27";2020-02-17;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"28";2020-02-18;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"29";2020-02-19;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"30";2020-02-20;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"31";2020-02-21;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"32";2020-02-22;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"33";2020-02-23;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"34";2020-02-24;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"35";2020-02-25;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"36";2020-02-26;"Brazil";1;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"37";2020-02-27;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
"38";2020-02-28;"Brazil";0;0;0;"BR";2018;18690609;146090386;44688338;106473088;102996245;12,8
