"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"2";2020-01-23;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"3";2020-01-24;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"4";2020-01-25;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"5";2020-01-26;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"6";2020-01-27;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"7";2020-01-28;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"8";2020-01-29;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"9";2020-01-30;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"10";2020-01-31;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"11";2020-02-01;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"12";2020-02-02;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"13";2020-02-03;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"14";2020-02-04;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"15";2020-02-05;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"16";2020-02-06;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"17";2020-02-07;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"18";2020-02-08;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"19";2020-02-09;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"20";2020-02-10;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"21";2020-02-11;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"22";2020-02-12;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"23";2020-02-13;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"24";2020-02-14;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"25";2020-02-15;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"26";2020-02-16;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"27";2020-02-17;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"28";2020-02-18;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"29";2020-02-19;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"30";2020-02-20;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"31";2020-02-21;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"32";2020-02-22;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"33";2020-02-23;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"34";2020-02-24;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"35";2020-02-25;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"36";2020-02-26;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"37";2020-02-27;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"38";2020-02-28;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"39";2020-02-29;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"40";2020-03-01;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
"41";2020-03-02;"Chile";0;0;0;"CL";2018;2159435;12869985;3699740;9500747;9228413;6,2
