"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"2";2020-01-23;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"3";2020-01-24;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"4";2020-01-25;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"5";2020-01-26;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"6";2020-01-27;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"7";2020-01-28;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"8";2020-01-29;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"9";2020-01-30;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"10";2020-01-31;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"11";2020-02-01;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"12";2020-02-02;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"13";2020-02-03;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"14";2020-02-04;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"15";2020-02-05;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"16";2020-02-06;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"17";2020-02-07;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"18";2020-02-08;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"19";2020-02-09;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"20";2020-02-10;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"21";2020-02-11;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"22";2020-02-12;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"23";2020-02-13;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"24";2020-02-14;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"25";2020-02-15;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"26";2020-02-16;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"27";2020-02-17;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"28";2020-02-18;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
"29";2020-02-19;"Colombia";0;0;0;"CO";2018;4209239;33981574;11457872;25283976;24364709;12,2
