"";"date";"country";"confirmed";"death";"recovered"
"1";2020-01-22;"Argentina";0;0;0
"2";2020-01-23;"Argentina";0;0;0
"3";2020-01-24;"Argentina";0;0;0
"4";2020-01-25;"Argentina";0;0;0
"5";2020-01-26;"Argentina";0;0;0
"6";2020-01-27;"Argentina";0;0;0
"7";2020-01-28;"Argentina";0;0;0
"8";2020-01-29;"Argentina";0;0;0
"9";2020-01-30;"Argentina";0;0;0
"10";2020-01-31;"Argentina";0;0;0
"11";2020-02-01;"Argentina";0;0;0
"12";2020-02-02;"Argentina";0;0;0
"13";2020-02-03;"Argentina";0;0;0
"14";2020-02-04;"Argentina";0;0;0
"15";2020-02-05;"Argentina";0;0;0
"16";2020-02-06;"Argentina";0;0;0
"17";2020-02-07;"Argentina";0;0;0
"18";2020-02-08;"Argentina";0;0;0
"19";2020-02-09;"Argentina";0;0;0
"20";2020-02-10;"Argentina";0;0;0
"21";2020-02-11;"Argentina";0;0;0
"22";2020-02-12;"Argentina";0;0;0
"23";2020-02-13;"Argentina";0;0;0
"24";2020-02-14;"Argentina";0;0;0
"25";2020-02-15;"Argentina";0;0;0
"26";2020-02-16;"Argentina";0;0;0
"27";2020-02-17;"Argentina";0;0;0
"28";2020-02-18;"Argentina";0;0;0
"29";2020-02-19;"Argentina";0;0;0
"30";2020-02-20;"Argentina";0;0;0
"31";2020-02-21;"Argentina";0;0;0
"32";2020-02-22;"Argentina";0;0;0
"33";2020-02-23;"Argentina";0;0;0
"34";2020-02-24;"Argentina";0;0;0
"35";2020-02-25;"Argentina";0;0;0
"36";2020-02-26;"Argentina";0;0;0
"37";2020-02-27;"Argentina";0;0;0
"38";2020-02-28;"Argentina";0;0;0
"39";2020-02-29;"Argentina";0;0;0
"40";2020-03-01;"Argentina";0;0;0
"41";2020-03-02;"Argentina";0;0;0
"42";2020-03-03;"Argentina";1;0;0
"43";2020-03-04;"Argentina";0;0;0
"44";2020-03-05;"Argentina";0;0;0
"45";2020-03-06;"Argentina";1;0;0
"46";2020-03-07;"Argentina";6;0;0
"47";2020-03-08;"Argentina";4;1;0
"48";2020-03-09;"Argentina";0;0;0
"49";2020-03-10;"Argentina";5;0;0
"50";2020-03-11;"Argentina";2;0;0
"51";2020-03-12;"Argentina";0;0;0
"52";2020-03-13;"Argentina";12;1;0
"53";2020-03-14;"Argentina";3;0;1
"54";2020-03-15;"Argentina";11;0;0
"55";2020-03-16;"Argentina";11;0;0
"56";2020-03-17;"Argentina";12;0;2
"57";2020-03-18;"Argentina";11;0;0
"58";2020-03-19;"Argentina";18;1;0
"59";2020-03-20;"Argentina";31;0;0
"60";2020-03-21;"Argentina";30;1;0
"61";2020-03-22;"Argentina";108;0;0
"62";2020-03-23;"Argentina";35;0;0
"63";2020-03-24;"Argentina";86;2;49
"64";2020-03-25;"Argentina";0;2;0
"65";2020-03-26;"Argentina";115;1;11
"66";2020-03-27;"Argentina";87;4;9
"67";2020-03-28;"Argentina";101;5;0
"68";2020-03-29;"Argentina";55;1;0
"69";2020-03-30;"Argentina";75;4;156
"70";2020-03-31;"Argentina";234;4;12
"71";2020-04-01;"Argentina";0;1;8
"72";2020-04-02;"Argentina";79;8;8
"73";2020-04-03;"Argentina";132;3;10
"74";2020-04-04;"Argentina";186;4;13
"75";2020-04-05;"Argentina";0;1;1
"76";2020-04-06;"Argentina";103;4;45
"77";2020-04-07;"Argentina";74;8;13
"78";2020-04-08;"Argentina";87;7;20
"79";2020-04-09;"Argentina";80;9;7
"80";2020-04-10;"Argentina";180;10;10
"81";2020-04-11;"Argentina";0;1;65
"82";2020-04-12;"Argentina";167;7;28
"83";2020-04-13;"Argentina";66;7;47
"84";2020-04-14;"Argentina";69;5;44
"85";2020-04-15;"Argentina";166;9;37
"86";2020-04-16;"Argentina";128;4;35
"87";2020-04-17;"Argentina";98;8;35
"88";2020-04-18;"Argentina";89;6;19
"89";2020-04-19;"Argentina";81;3;24
"90";2020-04-20;"Argentina";102;4;28
"91";2020-04-21;"Argentina";90;11;103
"92";2020-04-22;"Argentina";113;5;32
"93";2020-04-23;"Argentina";291;13;47
"94";2020-04-24;"Argentina";172;11;57
"95";2020-04-25;"Argentina";173;9;54
"96";2020-04-26;"Argentina";112;7;77
"97";2020-04-27;"Argentina";111;5;33
"98";2020-04-28;"Argentina";124;10;22
"99";2020-04-29;"Argentina";158;7;30
"100";2020-04-30;"Argentina";143;4;64
"101";2020-05-01;"Argentina";104;7;36
"102";2020-05-02;"Argentina";149;12;28
"103";2020-05-03;"Argentina";102;9;34
"104";2020-05-04;"Argentina";104;14;88
"105";2020-05-05;"Argentina";133;4;30
"106";2020-05-06;"Argentina";188;9;52
"107";2020-05-07;"Argentina";163;9;77
"108";2020-05-08;"Argentina";240;11;58
"109";2020-05-09;"Argentina";165;7;69
"110";2020-05-10;"Argentina";258;5;29
"111";2020-05-11;"Argentina";244;9;80
"112";2020-05-12;"Argentina";285;5;25
"113";2020-05-13;"Argentina";316;10;404
"114";2020-05-14;"Argentina";255;24;119
"115";2020-05-15;"Argentina";345;3;112
"116";2020-01-22;"Bolivia";0;0;0
"117";2020-01-23;"Bolivia";0;0;0
"118";2020-01-24;"Bolivia";0;0;0
"119";2020-01-25;"Bolivia";0;0;0
"120";2020-01-26;"Bolivia";0;0;0
"121";2020-01-27;"Bolivia";0;0;0
"122";2020-01-28;"Bolivia";0;0;0
"123";2020-01-29;"Bolivia";0;0;0
"124";2020-01-30;"Bolivia";0;0;0
"125";2020-01-31;"Bolivia";0;0;0
"126";2020-02-01;"Bolivia";0;0;0
"127";2020-02-02;"Bolivia";0;0;0
"128";2020-02-03;"Bolivia";0;0;0
"129";2020-02-04;"Bolivia";0;0;0
"130";2020-02-05;"Bolivia";0;0;0
"131";2020-02-06;"Bolivia";0;0;0
"132";2020-02-07;"Bolivia";0;0;0
"133";2020-02-08;"Bolivia";0;0;0
"134";2020-02-09;"Bolivia";0;0;0
"135";2020-02-10;"Bolivia";0;0;0
"136";2020-02-11;"Bolivia";0;0;0
"137";2020-02-12;"Bolivia";0;0;0
"138";2020-02-13;"Bolivia";0;0;0
"139";2020-02-14;"Bolivia";0;0;0
"140";2020-02-15;"Bolivia";0;0;0
"141";2020-02-16;"Bolivia";0;0;0
"142";2020-02-17;"Bolivia";0;0;0
"143";2020-02-18;"Bolivia";0;0;0
"144";2020-02-19;"Bolivia";0;0;0
"145";2020-02-20;"Bolivia";0;0;0
"146";2020-02-21;"Bolivia";0;0;0
"147";2020-02-22;"Bolivia";0;0;0
"148";2020-02-23;"Bolivia";0;0;0
"149";2020-02-24;"Bolivia";0;0;0
"150";2020-02-25;"Bolivia";0;0;0
"151";2020-02-26;"Bolivia";0;0;0
"152";2020-02-27;"Bolivia";0;0;0
"153";2020-02-28;"Bolivia";0;0;0
"154";2020-02-29;"Bolivia";0;0;0
"155";2020-03-01;"Bolivia";0;0;0
"156";2020-03-02;"Bolivia";0;0;0
"157";2020-03-03;"Bolivia";0;0;0
"158";2020-03-04;"Bolivia";0;0;0
"159";2020-03-05;"Bolivia";0;0;0
"160";2020-03-06;"Bolivia";0;0;0
"161";2020-03-07;"Bolivia";0;0;0
"162";2020-03-08;"Bolivia";0;0;0
"163";2020-03-09;"Bolivia";0;0;0
"164";2020-03-10;"Bolivia";0;0;0
"165";2020-03-11;"Bolivia";2;0;0
"166";2020-03-12;"Bolivia";0;0;0
"167";2020-03-13;"Bolivia";1;0;0
"168";2020-03-14;"Bolivia";7;0;0
"169";2020-03-15;"Bolivia";0;0;0
"170";2020-03-16;"Bolivia";1;0;0
"171";2020-03-17;"Bolivia";0;0;0
"172";2020-03-18;"Bolivia";1;0;0
"173";2020-03-19;"Bolivia";0;0;0
"174";2020-03-20;"Bolivia";3;0;0
"175";2020-03-21;"Bolivia";4;0;0
"176";2020-03-22;"Bolivia";5;0;0
"177";2020-03-23;"Bolivia";3;0;0
"178";2020-03-24;"Bolivia";2;0;0
"179";2020-03-25;"Bolivia";3;0;0
"180";2020-03-26;"Bolivia";11;0;0
"181";2020-03-27;"Bolivia";18;0;0
"182";2020-03-28;"Bolivia";13;0;0
"183";2020-03-29;"Bolivia";7;1;0
"184";2020-03-30;"Bolivia";16;3;0
"185";2020-03-31;"Bolivia";10;2;0
"186";2020-04-01;"Bolivia";8;1;1
"187";2020-04-02;"Bolivia";8;1;0
"188";2020-04-03;"Bolivia";9;1;0
"189";2020-04-04;"Bolivia";7;1;0
"190";2020-04-05;"Bolivia";18;0;1
"191";2020-04-06;"Bolivia";26;1;0
"192";2020-04-07;"Bolivia";11;3;0
"193";2020-04-08;"Bolivia";16;1;0
"194";2020-04-09;"Bolivia";54;3;0
"195";2020-04-10;"Bolivia";4;1;0
"196";2020-04-11;"Bolivia";7;1;0
"197";2020-04-12;"Bolivia";25;4;0
"198";2020-04-13;"Bolivia";30;3;0
"199";2020-04-14;"Bolivia";24;1;4
"200";2020-04-15;"Bolivia";43;0;1
"201";2020-04-16;"Bolivia";44;1;7
"202";2020-04-17;"Bolivia";24;2;12
"203";2020-04-18;"Bolivia";28;0;5
"204";2020-04-19;"Bolivia";27;1;0
"205";2020-04-20;"Bolivia";44;1;0
"206";2020-04-21;"Bolivia";34;1;6
"207";2020-04-22;"Bolivia";11;3;7
"208";2020-04-23;"Bolivia";94;6;0
"209";2020-04-24;"Bolivia";104;1;10
"210";2020-04-25;"Bolivia";59;2;0
"211";2020-04-26;"Bolivia";84;4;26
"212";2020-04-27;"Bolivia";64;3;18
"213";2020-04-28;"Bolivia";39;2;12
"214";2020-04-29;"Bolivia";57;4;7
"215";2020-04-30;"Bolivia";57;3;15
"216";2020-05-01;"Bolivia";62;4;2
"217";2020-05-02;"Bolivia";241;5;25
"218";2020-05-03;"Bolivia";124;5;7
"219";2020-05-04;"Bolivia";87;6;8
"220";2020-05-05;"Bolivia";121;4;13
"221";2020-05-06;"Bolivia";84;5;11
"222";2020-05-07;"Bolivia";195;11;21
"223";2020-05-08;"Bolivia";185;4;18
"224";2020-05-09;"Bolivia";171;8;21
"225";2020-05-10;"Bolivia";119;4;15
"226";2020-05-11;"Bolivia";275;4;26
"227";2020-05-12;"Bolivia";133;6;14
"228";2020-05-13;"Bolivia";184;14;26
"229";2020-05-14;"Bolivia";224;10;17
"230";2020-05-15;"Bolivia";205;12;78
"231";2020-01-22;"Brazil";0;0;0
"232";2020-01-23;"Brazil";0;0;0
"233";2020-01-24;"Brazil";0;0;0
"234";2020-01-25;"Brazil";0;0;0
"235";2020-01-26;"Brazil";0;0;0
"236";2020-01-27;"Brazil";0;0;0
"237";2020-01-28;"Brazil";0;0;0
"238";2020-01-29;"Brazil";0;0;0
"239";2020-01-30;"Brazil";0;0;0
"240";2020-01-31;"Brazil";0;0;0
"241";2020-02-01;"Brazil";0;0;0
"242";2020-02-02;"Brazil";0;0;0
"243";2020-02-03;"Brazil";0;0;0
"244";2020-02-04;"Brazil";0;0;0
"245";2020-02-05;"Brazil";0;0;0
"246";2020-02-06;"Brazil";0;0;0
"247";2020-02-07;"Brazil";0;0;0
"248";2020-02-08;"Brazil";0;0;0
"249";2020-02-09;"Brazil";0;0;0
"250";2020-02-10;"Brazil";0;0;0
"251";2020-02-11;"Brazil";0;0;0
"252";2020-02-12;"Brazil";0;0;0
"253";2020-02-13;"Brazil";0;0;0
"254";2020-02-14;"Brazil";0;0;0
"255";2020-02-15;"Brazil";0;0;0
"256";2020-02-16;"Brazil";0;0;0
"257";2020-02-17;"Brazil";0;0;0
"258";2020-02-18;"Brazil";0;0;0
"259";2020-02-19;"Brazil";0;0;0
"260";2020-02-20;"Brazil";0;0;0
"261";2020-02-21;"Brazil";0;0;0
"262";2020-02-22;"Brazil";0;0;0
"263";2020-02-23;"Brazil";0;0;0
"264";2020-02-24;"Brazil";0;0;0
"265";2020-02-25;"Brazil";0;0;0
"266";2020-02-26;"Brazil";1;0;0
"267";2020-02-27;"Brazil";0;0;0
"268";2020-02-28;"Brazil";0;0;0
"269";2020-02-29;"Brazil";1;0;0
"270";2020-03-01;"Brazil";0;0;0
"271";2020-03-02;"Brazil";0;0;0
"272";2020-03-03;"Brazil";0;0;0
"273";2020-03-04;"Brazil";2;0;0
"274";2020-03-05;"Brazil";0;0;0
"275";2020-03-06;"Brazil";9;0;0
"276";2020-03-07;"Brazil";0;0;0
"277";2020-03-08;"Brazil";7;0;0
"278";2020-03-09;"Brazil";5;0;0
"279";2020-03-10;"Brazil";6;0;0
"280";2020-03-11;"Brazil";7;0;0
"281";2020-03-12;"Brazil";14;0;0
"282";2020-03-13;"Brazil";99;0;0
"283";2020-03-14;"Brazil";0;0;0
"284";2020-03-15;"Brazil";11;0;0
"285";2020-03-16;"Brazil";38;0;1
"286";2020-03-17;"Brazil";121;1;1
"287";2020-03-18;"Brazil";51;2;0
"288";2020-03-19;"Brazil";249;3;0
"289";2020-03-20;"Brazil";172;5;0
"290";2020-03-21;"Brazil";228;4;0
"291";2020-03-22;"Brazil";525;10;0
"292";2020-03-23;"Brazil";378;9;0
"293";2020-03-24;"Brazil";323;12;0
"294";2020-03-25;"Brazil";307;13;0
"295";2020-03-26;"Brazil";431;18;4
"296";2020-03-27;"Brazil";432;15;0
"297";2020-03-28;"Brazil";487;19;0
"298";2020-03-29;"Brazil";352;25;0
"299";2020-03-30;"Brazil";323;23;114
"300";2020-03-31;"Brazil";1138;42;7
"301";2020-04-01;"Brazil";1119;39;0
"302";2020-04-02;"Brazil";1208;84;0
"303";2020-04-03;"Brazil";1012;35;0
"304";2020-04-04;"Brazil";1304;86;0
"305";2020-04-05;"Brazil";770;41;0
"306";2020-04-06;"Brazil";1031;78;0
"307";2020-04-07;"Brazil";1873;122;0
"308";2020-04-08;"Brazil";2136;133;0
"309";2020-04-09;"Brazil";1922;131;46
"310";2020-04-10;"Brazil";1546;107;0
"311";2020-04-11;"Brazil";1089;67;0
"312";2020-04-12;"Brazil";1465;99;0
"313";2020-04-13;"Brazil";1238;105;0
"314";2020-04-14;"Brazil";1832;204;2873
"315";2020-04-15;"Brazil";3058;204;10980
"316";2020-04-16;"Brazil";2105;188;0
"317";2020-04-17;"Brazil";3257;217;0
"318";2020-04-18;"Brazil";2976;213;0
"319";2020-04-19;"Brazil";1996;108;8104
"320";2020-04-20;"Brazil";2089;125;0
"321";2020-04-21;"Brazil";2336;154;861
"322";2020-04-22;"Brazil";2678;165;2327
"323";2020-04-23;"Brazil";4279;425;1255
"324";2020-04-24;"Brazil";4007;373;1082
"325";2020-04-25;"Brazil";5281;353;1505
"326";2020-04-26;"Brazil";3776;229;992
"327";2020-04-27;"Brazil";4346;317;990
"328";2020-04-28;"Brazil";5789;480;1402
"329";2020-04-29;"Brazil";6450;430;1588
"330";2020-04-30;"Brazil";7502;493;1803
"331";2020-05-01;"Brazil";5015;406;2104
"332";2020-05-02;"Brazil";4898;349;2898
"333";2020-05-03;"Brazil";4726;290;2054
"334";2020-05-04;"Brazil";6794;316;2824
"335";2020-05-05;"Brazil";6835;571;2406
"336";2020-05-06;"Brazil";11156;650;3149
"337";2020-05-07;"Brazil";9162;602;3980
"338";2020-05-08;"Brazil";11121;827;3947
