"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"2";2020-01-23;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"3";2020-01-24;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"4";2020-01-25;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"5";2020-01-26;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"6";2020-01-27;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"7";2020-01-28;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"8";2020-01-29;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"9";2020-01-30;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"10";2020-01-31;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"11";2020-02-01;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"12";2020-02-02;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"13";2020-02-03;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"14";2020-02-04;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"15";2020-02-05;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"16";2020-02-06;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"17";2020-02-07;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"18";2020-02-08;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"19";2020-02-09;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"20";2020-02-10;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"21";2020-02-11;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"22";2020-02-12;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"23";2020-02-13;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"24";2020-02-14;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"25";2020-02-15;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"26";2020-02-16;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"27";2020-02-17;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"28";2020-02-18;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"29";2020-02-19;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"30";2020-02-20;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"31";2020-02-21;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"32";2020-02-22;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"33";2020-02-23;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"34";2020-02-24;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"35";2020-02-25;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"36";2020-02-26;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
"37";2020-02-27;"Ecuador";0;0;0;"EC";2018;1222777;11073075;4788505;8537160;8547197;12,2
