"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"2";2020-01-23;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"3";2020-01-24;"France";2;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"4";2020-01-25;"France";1;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"5";2020-01-26;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"6";2020-01-27;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"7";2020-01-28;"France";1;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"8";2020-01-29;"France";1;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"9";2020-01-30;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"10";2020-01-31;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"11";2020-02-01;"France";1;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"12";2020-02-02;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"13";2020-02-03;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"14";2020-02-04;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"15";2020-02-05;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"16";2020-02-06;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"17";2020-02-07;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"18";2020-02-08;"France";5;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"19";2020-02-09;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"20";2020-02-10;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"21";2020-02-11;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"22";2020-02-12;"France";0;0;2;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"23";2020-02-13;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"24";2020-02-14;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"25";2020-02-15;"France";1;1;2;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"26";2020-02-16;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"27";2020-02-17;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"28";2020-02-18;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"29";2020-02-19;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"30";2020-02-20;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"31";2020-02-21;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"32";2020-02-22;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"33";2020-02-23;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"34";2020-02-24;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"35";2020-02-25;"France";2;0;7;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"36";2020-02-26;"France";4;1;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"37";2020-02-27;"France";20;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"38";2020-02-28;"France";19;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"39";2020-02-29;"France";43;0;1;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"40";2020-03-01;"France";30;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"41";2020-03-02;"France";61;1;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"42";2020-03-03;"France";13;1;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"43";2020-03-04;"France";84;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"44";2020-03-05;"France";92;2;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"45";2020-03-06;"France";276;3;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"46";2020-03-07;"France";303;2;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"47";2020-03-08;"France";177;8;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"48";2020-03-09;"France";83;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"49";2020-03-10;"France";575;14;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"50";2020-03-11;"France";499;15;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"51";2020-03-12;"France";0;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"52";2020-03-13;"France";1388;31;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"53";2020-03-14;"France";815;12;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"54";2020-03-15;"France";36;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"55";2020-03-16;"France";2151;58;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"56";2020-03-17;"France";1032;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"57";2020-03-18;"France";1409;0;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"58";2020-03-19;"France";1846;95;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"59";2020-03-20;"France";1788;207;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"60";2020-03-21;"France";1705;112;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"61";2020-03-22;"France";1780;113;2194;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"62";2020-03-23;"France";3880;186;0;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"63";2020-03-24;"France";2499;240;1044;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"64";2020-03-25;"France";2978;231;657;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"65";2020-03-26;"France";3951;365;1048;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"66";2020-03-27;"France";3851;299;752;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
"67";2020-03-28;"France";4703;320;17;"FR";2018;13418612;41531775;12026720;34549632;32427475;3,4
