"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"2";2020-01-23;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"3";2020-01-24;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"4";2020-01-25;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"5";2020-01-26;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"6";2020-01-27;"Germany";1;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"7";2020-01-28;"Germany";3;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"8";2020-01-29;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"9";2020-01-30;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"10";2020-01-31;"Germany";1;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"11";2020-02-01;"Germany";3;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"12";2020-02-02;"Germany";2;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"13";2020-02-03;"Germany";2;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"14";2020-02-04;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"15";2020-02-05;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"16";2020-02-06;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"17";2020-02-07;"Germany";1;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"18";2020-02-08;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"19";2020-02-09;"Germany";1;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"20";2020-02-10;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"21";2020-02-11;"Germany";2;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"22";2020-02-12;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"23";2020-02-13;"Germany";0;0;1;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"24";2020-02-14;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
"25";2020-02-15;"Germany";0;0;0;"DE";2018;17793207;53819953;11292622;42000374;40905408;3,1
