"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"2";2020-01-23;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"3";2020-01-24;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"4";2020-01-25;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"5";2020-01-26;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"6";2020-01-27;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"7";2020-01-28;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"8";2020-01-29;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"9";2020-01-30;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"10";2020-01-31;"Italy";2;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"11";2020-02-01;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"12";2020-02-02;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"13";2020-02-03;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"14";2020-02-04;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"15";2020-02-05;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"16";2020-02-06;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"17";2020-02-07;"Italy";1;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"18";2020-02-08;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"19";2020-02-09;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"20";2020-02-10;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"21";2020-02-11;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"22";2020-02-12;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"23";2020-02-13;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"24";2020-02-14;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"25";2020-02-15;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"26";2020-02-16;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"27";2020-02-17;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"28";2020-02-18;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"29";2020-02-19;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"30";2020-02-20;"Italy";0;0;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"31";2020-02-21;"Italy";17;1;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"32";2020-02-22;"Italy";42;1;1;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"33";2020-02-23;"Italy";93;1;1;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"34";2020-02-24;"Italy";74;4;-1;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"35";2020-02-25;"Italy";93;3;0;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
"36";2020-02-26;"Italy";131;2;2;"IT";2018;13746965;38621108;8053687;31042688;29379072;2,6
