"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"2";2020-01-23;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"3";2020-01-24;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"4";2020-01-25;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"5";2020-01-26;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"6";2020-01-27;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"7";2020-01-28;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"8";2020-01-29;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"9";2020-01-30;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"10";2020-01-31;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"11";2020-02-01;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"12";2020-02-02;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"13";2020-02-03;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"14";2020-02-04;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"15";2020-02-05;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"16";2020-02-06;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"17";2020-02-07;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"18";2020-02-08;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"19";2020-02-09;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"20";2020-02-10;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"21";2020-02-11;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"22";2020-02-12;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"23";2020-02-13;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"24";2020-02-14;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"25";2020-02-15;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"26";2020-02-16;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"27";2020-02-17;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"28";2020-02-18;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"29";2020-02-19;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"30";2020-02-20;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"31";2020-02-21;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"32";2020-02-22;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"33";2020-02-23;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"34";2020-02-24;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"35";2020-02-25;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"36";2020-02-26;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"37";2020-02-27;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"38";2020-02-28;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"39";2020-02-29;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"40";2020-03-01;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"41";2020-03-02;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"42";2020-03-03;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"43";2020-03-04;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"44";2020-03-05;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"45";2020-03-06;"Peru";1;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"46";2020-03-07;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"47";2020-03-08;"Peru";5;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"48";2020-03-09;"Peru";1;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"49";2020-03-10;"Peru";4;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"50";2020-03-11;"Peru";0;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"51";2020-03-12;"Peru";4;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"52";2020-03-13;"Peru";13;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"53";2020-03-14;"Peru";10;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"54";2020-03-15;"Peru";5;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"55";2020-03-16;"Peru";43;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"56";2020-03-17;"Peru";31;0;1;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"57";2020-03-18;"Peru";28;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"58";2020-03-19;"Peru";89;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"59";2020-03-20;"Peru";0;3;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"60";2020-03-21;"Peru";84;2;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"61";2020-03-22;"Peru";45;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"62";2020-03-23;"Peru";32;0;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"63";2020-03-24;"Peru";21;2;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"64";2020-03-25;"Peru";64;2;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"65";2020-03-26;"Peru";100;0;13;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"66";2020-03-27;"Peru";55;2;2;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"67";2020-03-28;"Peru";36;5;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"68";2020-03-29;"Peru";181;2;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"69";2020-03-30;"Peru";98;6;37;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"70";2020-03-31;"Peru";115;6;341;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"71";2020-04-01;"Peru";258;8;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"72";2020-04-02;"Peru";91;17;143;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"73";2020-04-03;"Peru";181;6;0;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"74";2020-04-04;"Peru";151;12;377;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"75";2020-04-05;"Peru";535;10;75;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"76";2020-04-06;"Peru";280;9;8;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"77";2020-04-07;"Peru";393;15;304;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"78";2020-04-08;"Peru";1388;14;32;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"79";2020-04-09;"Peru";914;17;105;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"80";2020-04-10;"Peru";641;31;131;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"81";2020-04-11;"Peru";951;12;170;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"82";2020-04-12;"Peru";671;12;59;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"83";2020-04-13;"Peru";2265;23;844;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"84";2020-04-14;"Peru";519;14;227;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"85";2020-04-15;"Peru";1172;24;239;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"86";2020-04-16;"Peru";1016;20;3012;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"87";2020-04-17;"Peru";998;26;421;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"88";2020-04-18;"Peru";931;48;143;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"89";2020-04-19;"Peru";1208;52;127;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"90";2020-04-20;"Peru";697;45;157;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"91";2020-04-21;"Peru";1512;39;14;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"92";2020-04-22;"Peru";1413;46;45;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"93";2020-04-23;"Peru";1664;42;395;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"94";2020-04-24;"Peru";734;62;74;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"95";2020-04-25;"Peru";3683;66;301;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"96";2020-04-26;"Peru";2186;28;291;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"97";2020-04-27;"Peru";1182;54;337;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"98";2020-04-28;"Peru";2491;72;754;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"99";2020-04-29;"Peru";2741;89;858;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"100";2020-04-30;"Peru";3045;108;368;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"101";2020-05-01;"Peru";3483;73;724;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"102";2020-05-02;"Peru";2075;76;1305;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"103";2020-05-03;"Peru";3394;86;1116;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"104";2020-05-04;"Peru";1444;58;877;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"105";2020-05-05;"Peru";3817;100;986;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"106";2020-05-06;"Peru";3628;89;2114;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"107";2020-05-07;"Peru";3709;94;861;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"108";2020-05-08;"Peru";3321;87;624;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"109";2020-05-09;"Peru";3168;100;1234;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"110";2020-05-10;"Peru";2292;75;1103;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"111";2020-05-11;"Peru";1515;72;1057;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
"112";2020-05-12;"Peru";3237;96;918;"PE";2018;2587417;21151617;8250222;16102673;15886583;11,1
