"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"2";2020-01-23;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"3";2020-01-24;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"4";2020-01-25;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"5";2020-01-26;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"6";2020-01-27;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"7";2020-01-28;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"8";2020-01-29;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"9";2020-01-30;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"10";2020-01-31;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"11";2020-02-01;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"12";2020-02-02;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"13";2020-02-03;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"14";2020-02-04;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"15";2020-02-05;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"16";2020-02-06;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"17";2020-02-07;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"18";2020-02-08;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"19";2020-02-09;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"20";2020-02-10;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"21";2020-02-11;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"22";2020-02-12;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"23";2020-02-13;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"24";2020-02-14;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"25";2020-02-15;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"26";2020-02-16;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"27";2020-02-17;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"28";2020-02-18;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"29";2020-02-19;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"30";2020-02-20;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"31";2020-02-21;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"32";2020-02-22;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"33";2020-02-23;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"34";2020-02-24;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"35";2020-02-25;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"36";2020-02-26;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"37";2020-02-27;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"38";2020-02-28;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"39";2020-02-29;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"40";2020-03-01;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"41";2020-03-02;"Portugal";2;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"42";2020-03-03;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"43";2020-03-04;"Portugal";3;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"44";2020-03-05;"Portugal";3;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"45";2020-03-06;"Portugal";5;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"46";2020-03-07;"Portugal";7;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"47";2020-03-08;"Portugal";10;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"48";2020-03-09;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"49";2020-03-10;"Portugal";11;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"50";2020-03-11;"Portugal";18;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"51";2020-03-12;"Portugal";0;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"52";2020-03-13;"Portugal";53;0;1;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"53";2020-03-14;"Portugal";57;0;1;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"54";2020-03-15;"Portugal";76;0;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"55";2020-03-16;"Portugal";86;0;1;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"56";2020-03-17;"Portugal";117;1;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"57";2020-03-18;"Portugal";0;1;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
"58";2020-03-19;"Portugal";337;1;0;"PT";2018;2257696;6642139;1383987;5420804;4863018;3,1
