"";"date";"country";"confirmed";"death";"recovered";"iso2c";"year";"mais_de_65";"de_15_a_65";"menos_de_14";"mulher";"homem";"mortalidade_infantil"
"1";2020-01-22;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"2";2020-01-23;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"3";2020-01-24;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"4";2020-01-25;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"5";2020-01-26;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"6";2020-01-27;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"7";2020-01-28;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"8";2020-01-29;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"9";2020-01-30;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"10";2020-01-31;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"11";2020-02-01;"Spain";1;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"12";2020-02-02;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"13";2020-02-03;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"14";2020-02-04;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"15";2020-02-05;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"16";2020-02-06;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"17";2020-02-07;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"18";2020-02-08;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"19";2020-02-09;"Spain";1;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"20";2020-02-10;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"21";2020-02-11;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"22";2020-02-12;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"23";2020-02-13;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"24";2020-02-14;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"25";2020-02-15;"Spain";0;0;2;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"26";2020-02-16;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"27";2020-02-17;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"28";2020-02-18;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"29";2020-02-19;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"30";2020-02-20;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"31";2020-02-21;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"32";2020-02-22;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"33";2020-02-23;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"34";2020-02-24;"Spain";0;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"35";2020-02-25;"Spain";4;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"36";2020-02-26;"Spain";7;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"37";2020-02-27;"Spain";2;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"38";2020-02-28;"Spain";17;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"39";2020-02-29;"Spain";13;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"40";2020-03-01;"Spain";39;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"41";2020-03-02;"Spain";36;0;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"42";2020-03-03;"Spain";45;1;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"43";2020-03-04;"Spain";57;1;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"44";2020-03-05;"Spain";37;1;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"45";2020-03-06;"Spain";141;2;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"46";2020-03-07;"Spain";100;5;28;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"47";2020-03-08;"Spain";173;7;0;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
"48";2020-03-09;"Spain";400;11;2;"ES";2018;9068471;30864420;6863649;23817867;22978673;2,5
