Time;Date;Country;Confirmed;Death;Recovered;No_LockDown
1;03/03/2020;Argentina;1;0;0;0
2;04/03/2020;Argentina;0;0;0;0
3;05/03/2020;Argentina;0;0;0;0
4;06/03/2020;Argentina;1;0;0;0
5;07/03/2020;Argentina;6;0;0;0
6;08/03/2020;Argentina;4;1;0;0
7;09/03/2020;Argentina;0;0;0;0
8;10/03/2020;Argentina;5;0;0;0
9;11/03/2020;Argentina;2;0;0;0
10;12/03/2020;Argentina;0;0;0;0
11;13/03/2020;Argentina;12;1;0;0
12;14/03/2020;Argentina;3;0;1;0
13;15/03/2020;Argentina;11;0;0;0
14;16/03/2020;Argentina;11;0;0;0
15;17/03/2020;Argentina;12;0;2;0
16;18/03/2020;Argentina;11;0;0;0
17;19/03/2020;Argentina;18;1;0;0
18;20/03/2020;Argentina;31;0;0;0
19;21/03/2020;Argentina;30;1;0;0
20;22/03/2020;Argentina;108;0;0;0
21;23/03/2020;Argentina;35;0;0;0
22;24/03/2020;Argentina;86;2;49;0
23;25/03/2020;Argentina;0;2;0;0
24;26/03/2020;Argentina;115;1;11;0
25;27/03/2020;Argentina;87;4;9;0
26;28/03/2020;Argentina;101;5;0;0
27;29/03/2020;Argentina;55;1;0;0
28;30/03/2020;Argentina;75;4;156;0
29;31/03/2020;Argentina;234;4;12;0
30;01/04/2020;Argentina;0;1;8;0
31;02/04/2020;Argentina;79;8;8;0
32;03/04/2020;Argentina;132;3;10;0
1;06/03/2020;Bolivia;0;0;0;0
2;07/03/2020;Bolivia;0;0;0;0
3;08/03/2020;Bolivia;0;0;0;0
4;09/03/2020;Bolivia;0;0;0;0
5;10/03/2020;Bolivia;0;0;0;0
6;11/03/2020;Bolivia;2;0;0;0
7;12/03/2020;Bolivia;0;0;0;0
8;13/03/2020;Bolivia;1;0;0;0
9;14/03/2020;Bolivia;7;0;0;0
10;15/03/2020;Bolivia;0;0;0;0
11;16/03/2020;Bolivia;1;0;0;0
12;17/03/2020;Bolivia;0;0;0;0
13;18/03/2020;Bolivia;1;0;0;0
14;19/03/2020;Bolivia;0;0;0;0
15;20/03/2020;Bolivia;3;0;0;0
16;21/03/2020;Bolivia;4;0;0;0
17;22/03/2020;Bolivia;5;0;0;0
18;23/03/2020;Bolivia;3;0;0;0
19;24/03/2020;Bolivia;2;0;0;0
20;25/03/2020;Bolivia;3;0;0;0
21;26/03/2020;Bolivia;11;0;0;0
22;27/03/2020;Bolivia;18;0;0;0
23;28/03/2020;Bolivia;13;0;0;0
24;29/03/2020;Bolivia;7;1;0;0
25;30/03/2020;Bolivia;16;3;0;0
26;31/03/2020;Bolivia;10;2;0;0
27;01/04/2020;Bolivia;8;1;1;0
28;02/04/2020;Bolivia;8;1;0;0
29;03/04/2020;Bolivia;9;1;0;0
30;04/04/2020;Bolivia;7;1;0;0
31;05/04/2020;Bolivia;18;0;1;0
32;06/04/2020;Bolivia;26;1;0;0
1;26/02/2020;Brazil;1;0;0;0
2;27/02/2020;Brazil;0;0;0;0
3;28/02/2020;Brazil;0;0;0;0
4;29/02/2020;Brazil;1;0;0;0
5;01/03/2020;Brazil;0;0;0;0
6;02/03/2020;Brazil;0;0;0;0
7;03/03/2020;Brazil;0;0;0;0
8;04/03/2020;Brazil;2;0;0;0
9;05/03/2020;Brazil;0;0;0;0
10;06/03/2020;Brazil;9;0;0;0
11;07/03/2020;Brazil;0;0;0;0
12;08/03/2020;Brazil;7;0;0;0
13;09/03/2020;Brazil;5;0;0;0
14;10/03/2020;Brazil;6;0;0;0
15;11/03/2020;Brazil;7;0;0;0
16;12/03/2020;Brazil;14;0;0;0
17;13/03/2020;Brazil;99;0;0;1
18;14/03/2020;Brazil;0;0;0;1
19;15/03/2020;Brazil;11;0;0;1
20;16/03/2020;Brazil;38;0;1;1
21;17/03/2020;Brazil;121;1;1;1
22;18/03/2020;Brazil;51;2;0;1
23;19/03/2020;Brazil;249;3;0;1
24;20/03/2020;Brazil;172;5;0;1
25;21/03/2020;Brazil;228;4;0;1
26;22/03/2020;Brazil;525;10;0;1
27;23/03/2020;Brazil;378;9;0;1
28;24/03/2020;Brazil;323;12;0;1
29;25/03/2020;Brazil;307;13;0;1
30;26/03/2020;Brazil;431;18;4;1
31;27/03/2020;Brazil;432;15;0;1
32;28/03/2020;Brazil;487;19;0;1
1;03/03/2020;Chile;1;0;0;0
2;04/03/2020;Chile;0;0;0;0
3;05/03/2020;Chile;3;0;0;0
4;06/03/2020;Chile;0;0;0;0
5;07/03/2020;Chile;0;0;0;0
6;08/03/2020;Chile;4;0;0;0
7;09/03/2020;Chile;0;0;0;0
8;10/03/2020;Chile;5;0;0;0
9;11/03/2020;Chile;10;0;0;0
10;12/03/2020;Chile;0;0;0;0
11;13/03/2020;Chile;20;0;0;0
12;14/03/2020;Chile;18;0;0;0
13;15/03/2020;Chile;13;0;0;0
14;16/03/2020;Chile;81;0;0;0
15;17/03/2020;Chile;46;0;0;0
16;18/03/2020;Chile;37;0;0;0
17;19/03/2020;Chile;0;0;0;0
18;20/03/2020;Chile;196;0;6;0
19;21/03/2020;Chile;103;0;0;0
20;22/03/2020;Chile;95;1;2;0
21;23/03/2020;Chile;114;1;0;0
22;24/03/2020;Chile;176;0;9;0
23;25/03/2020;Chile;220;1;5;0
24;26/03/2020;Chile;164;1;0;0
25;27/03/2020;Chile;304;1;21;0
26;28/03/2020;Chile;299;1;18;0
27;29/03/2020;Chile;230;1;14;0
28;30/03/2020;Chile;310;1;81;0
29;31/03/2020;Chile;289;4;0;0
30;01/04/2020;Chile;293;4;78;0
31;02/04/2020;Chile;373;2;101;0
32;03/04/2020;Chile;333;4;92;0
1;09/03/2020;Colombia;0;0;0;0
2;10/03/2020;Colombia;2;0;0;0
3;11/03/2020;Colombia;6;0;0;0
4;12/03/2020;Colombia;0;0;0;0
5;13/03/2020;Colombia;4;0;0;0
6;14/03/2020;Colombia;9;0;0;0
7;15/03/2020;Colombia;12;0;0;0
8;16/03/2020;Colombia;20;0;0;0
9;17/03/2020;Colombia;11;0;1;0
10;18/03/2020;Colombia;28;0;0;0
11;19/03/2020;Colombia;9;0;0;0
12;20/03/2020;Colombia;26;0;0;0
13;21/03/2020;Colombia;68;0;0;0
14;22/03/2020;Colombia;35;2;2;0
15;23/03/2020;Colombia;46;1;0;0
16;24/03/2020;Colombia;101;0;3;0
17;25/03/2020;Colombia;92;1;2;0
18;26/03/2020;Colombia;21;2;0;0
19;27/03/2020;Colombia;48;0;2;0
20;28/03/2020;Colombia;69;0;0;0
21;29/03/2020;Colombia;94;4;0;0
22;30/03/2020;Colombia;96;2;5;0
23;31/03/2020;Colombia;108;4;16;0
24;01/04/2020;Colombia;159;1;8;0
25;02/04/2020;Colombia;96;2;16;0
26;03/04/2020;Colombia;106;6;0;0
27;04/04/2020;Colombia;139;7;30;0
28;05/04/2020;Colombia;79;3;3;0
29;06/04/2020;Colombia;94;11;0;0
30;07/04/2020;Colombia;201;4;12;0
31;08/04/2020;Colombia;274;4;23;0
32;09/04/2020;Colombia;169;15;51;0
1;29/02/2020;Ecuador;0;0;0;0
2;01/03/2020;Ecuador;6;0;0;0
3;02/03/2020;Ecuador;0;0;0;0
4;03/03/2020;Ecuador;1;0;0;0
5;04/03/2020;Ecuador;3;0;0;0
6;05/03/2020;Ecuador;3;0;0;0
7;06/03/2020;Ecuador;0;0;0;0
8;07/03/2020;Ecuador;0;0;0;0
9;08/03/2020;Ecuador;1;0;0;0
10;09/03/2020;Ecuador;1;0;0;0
11;10/03/2020;Ecuador;0;0;0;0
12;11/03/2020;Ecuador;2;0;0;0
13;12/03/2020;Ecuador;0;0;0;0
14;13/03/2020;Ecuador;0;0;0;0
15;14/03/2020;Ecuador;11;2;0;0
16;15/03/2020;Ecuador;0;0;0;0
17;16/03/2020;Ecuador;9;0;0;0
18;17/03/2020;Ecuador;21;0;0;0
19;18/03/2020;Ecuador;53;0;0;0
20;19/03/2020;Ecuador;88;1;0;0
21;20/03/2020;Ecuador;168;2;0;0
22;21/03/2020;Ecuador;139;2;3;0
23;22/03/2020;Ecuador;283;7;0;0
24;23/03/2020;Ecuador;192;4;0;0
25;24/03/2020;Ecuador;101;9;0;0
26;25/03/2020;Ecuador;91;1;0;0
27;26/03/2020;Ecuador;230;6;0;0
28;27/03/2020;Ecuador;192;2;0;0
29;28/03/2020;Ecuador;228;12;0;0
30;29/03/2020;Ecuador;101;10;0;0
31;30/03/2020;Ecuador;38;2;0;0
32;31/03/2020;Ecuador;278;15;51;0
1;04/03/2020;Paraguay;0;0;0;0
2;05/03/2020;Paraguay;0;0;0;0
3;06/03/2020;Paraguay;0;0;0;0
4;07/03/2020;Paraguay;0;0;0;0
5;08/03/2020;Paraguay;1;0;0;0
6;09/03/2020;Paraguay;0;0;0;0
7;10/03/2020;Paraguay;0;0;0;0
